target_account_id,account_name,organisation_entity_id,country,account_type,crm_stage,buyer_demand_score,buyer_demand_tier,opportunity_score,active_opportunities,high_priority_opportunities,upcoming_pipeline,estimated_opportunity_value,catalogue_fit_score,catalogue_fit_status,catalogue_matched_events,catalogue_matched_products,historical_familiarity_score,historical_familiarity_band,historical_evidence_count,timing_score,next_closing_date,commercial_account_priority_score,commercial_account_priority_tier,priority_reason,recommended_action,procurement_event_ids,familiarity_evidence_ids
acct_f5612ccc7ab5,INTERSOS,org_0705c2288152,Democratic Republic of the Congo,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_f5612ccc7ab5,INTERSOS,org_0705c2288152,South Sudan,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_79c13148179d,IntraHealth International Inc.,org_571a417e53bd,Tanzania,Implementing Partner,Research,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_d5a1b9f6ef76,"INVEA - IMMIGRATION, NATIONALITY AND VITAL EVENTS AGENCY ALT",org_eee5207468ab,Ethiopia,Implementing Partner,Monitor,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_05c6430c6a62,Invest International B.V.,org_98bf1bf742d9,Tanzania; Uganda; Kenya; Ethiopia; Rwanda,Donor,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_5eefa791969c,IOGT-NTO Movement,org_02a5445a5121,Uganda; Tanzania; Kenya,Donor,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_ff4e6fce123d,IOM,org_36a21e6689e6,Somalia,Implementing Partner,Research,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_b8b0a7b5674a,IORA Ecological Solutions Pvt. Ltd,org_6c4ecd8bc753,Kenya; KH; NG; Somalia; ZA; VN; ZW; IN; Rwanda; GH; SY; TL; IQ; EG; YE; TH; MW; MY; PH; PK; JO; BD; Ethiopia; MM; South Sudan; Democratic Republic of the Congo; ID; NP; TN; Tanzania,Implementing Partner,Qualify,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_acda963a2c05,IP not published,org_7a3d99dd3ace,South Sudan,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_acda963a2c05,IP not published,org_7a3d99dd3ace,Somalia; Democratic Republic of the Congo; Tanzania; South Sudan,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_acda963a2c05,IP not published,org_7a3d99dd3ace,Ethiopia,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_acda963a2c05,IP not published,org_7a3d99dd3ace,Kenya,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_acda963a2c05,IP not published,org_7a3d99dd3ace,Uganda,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_acda963a2c05,IP not published,org_7a3d99dd3ace,Democratic Republic of the Congo,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_acda963a2c05,IP not published,org_7a3d99dd3ace,Kenya,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_acda963a2c05,IP not published,org_7a3d99dd3ace,Kenya,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
acct_acda963a2c05,IP not published,org_7a3d99dd3ace,Kenya,Implementing Partner,Prioritise,0.0,MONITOR,0.0,0,0,0,0.00,0.0,NO_VERIFIED_CATALOGUE_MATCH,0,,0.0,NONE,0,0.0,,0.0,MONITOR,No strong commercial signal yet.,Keep on watchlist; revisit when new procurement demand or catalogue-fit evidence appears.,,
