activity_id,country_code,percentage
DAC-1601-INV-047794,ZA,19.0
DAC-1601-INV-047794,CD,4.0
DAC-1601-INV-047794,BJ,5.0
DAC-1601-INV-047794,ET,5.0
DAC-1601-INV-047794,GH,2.0
DAC-1601-INV-047794,CI,5.0
DAC-1601-INV-047794,KE,5.0
DAC-1601-INV-047794,MR,5.0
DAC-1601-INV-047794,NG,5.0
DAC-1601-INV-047794,SN,5.0
DAC-1601-INV-047794,UG,17.0
DAC-1601-INV-047794,ZM,2.0
NL-KVK-41160054-201510,SS,
US-EIN-46-3668128-OG013-2,UG,17.0
US-EIN-46-3668128-OG013-2,NP,17.0
US-EIN-46-3668128-OG013-2,CD,16.0
XM-DAC-928-SS-2026-27-03.003.AF01.SSD01,SS,100.0
XI-IATI-WBTF-P170435,TZ,
CH-4-2024-2024000261,CD,
CH-4-2025-2025000399,CD,
CH-4-2025-2025001754,CD,
CH-4-2024-2024001177,CD,
US-EIN-13-5660870-DF219,SS,
US-EIN-13-5660870-DF220,SS,
KR-GOV-021-20ED00045,TZ,100.0
GB-GOV-1-300585-402,CD,100.0
DE-1-202406007-7930,TZ,100.0
TZ-TRA-132-359-466-001,TZ,4.33
XM-DAC-928-TZ-2026-27-03.003.AF01.TZA01,TZ,100.0
DAC-1601-INV-049856,TZ,100.0
XM-DAC-928-SO-2026-27-03.003.EM01.SOM01,SO,100.0
DAC-1601-INV-085851,SO,100.0
XM-DAC-928-CD-2026-27-03.003.AF01.COD01,CD,100.0
CH-4-2025-2025000400,TZ,
KE-KRA-P051097200R-845,KE,50.0
DAC-1601-INV-074789,KE,100.0
XI-IATI-WBTF-P175167,ET,
GB-COH-09288843-RwandaSSP2018-2021,RW,100.0
GB-COH-09288843-RwandaSPaR2018-2021,RW,100.0
XM-DAC-301-2-110677-001,UG,33.0
XM-DAC-301-2-110677-001,KE,34.0
XM-DAC-301-2-110677-001,TZ,33.0
XM-DAC-69-2-2017000307,SS,100.0
XM-DAC-69-2-2017000308,SS,100.0
XM-DAC-69-2-2017000309,SS,100.0
CH-4-2024-2013007008,RW,
CH-4-2023-2013007008,RW,
CH-4-2024-2013007008,RW,
XI-IATI-WBTF-P164845,RW,
XM-DAC-928-RW-2026-27-01.002.AF01.RWA01,RW,100.0
GB-CHC-1140123-GPAF,RW,100.0
BE-BCE_KBO-0418766123-prg2022-194-RW2022TEA524B141,RW,
KR-GOV-010-KR-GOV-051-2026030102578,RW,
DAC-1601-INV-095101,RW,19.0
47045-SSD-M-UNICEF-2,SS,100.0
XM-DAC-928-ET-2026-27-03.003.AF01.ETH01,ET,100.0
DAC-1601-INV-025784,ET,100.0
DAC-1601-INV-066653,ET,100.0
DAC-1601-INV-045980,ET,100.0
DAC-1601-INV-046160,ET,80.0
DAC-1601-INV-061461,ET,100.0
DAC-1601-INV-044135,ET,100.0
DAC-1601-INV-095062,ET,100.0
DAC-1601-INV-046277,ET,100.0
DAC-1601-INV-089469,ET,100.0
DAC-1601-INV-060889,ET,100.0
KR-GOV-110-1352000_2023_013,ET,100.0
BE-BCE_KBO-0418766123-prg2022-235-UG2024TEA573A101,UG,
DAC-1601-INV-061043,ET,14.0
DAC-1601-INV-061043,KE,44.0
DAC-1601-INV-061043,ML,13.0
DAC-1601-INV-061043,SN,29.0
GB-COH-1762840-GIH034--01,TZ,20.0
GB-COH-1762840-GIH034--01,ET,20.0
GB-COH-1762840-GIH034--01,PK,20.0
GB-COH-1762840-GIH034--01,UA,8.0
GB-COH-1762840-GIH034--01,GB,32.0
GB-COH-1762840-GIH034--01,TZ,20.0
GB-COH-1762840-GIH034--01,ET,20.0
GB-COH-1762840-GIH034--01,PK,20.0
GB-COH-1762840-GIH034--01,UA,8.0
GB-COH-1762840-GIH034--01,GB,32.0
KE-RCO-155081-DigitalFinancialInnovationPlatform,KE,100.0
GB-COH-RC000655-AUTOMATE-502851,KE,100.0
